index,disease_name,supplement name,supplement image,buy link
0,Apple___Apple_scab,Katyayani Prozol Propiconazole 25% EC Systematic Fungicide,https://agrosiaa.com/uploads/userdata/seller/eb7c7ee9f5e7652f0f11a72dc20cf75469b9591c/product_images/521420561843b87e23375696df2c78eb0bb47f6c5433896a53.png,https://agrosiaa.com/products/detail/katyayani-prozol-boost-propiconazole-25-ec
1,Apple___Black_rot,Magic FungiX For Fungal disease,https://5.imimg.com/data5/XQ/VB/SD/SELLER-59339900/magic-fungix-organic-fungicide-1000x1000.jpg,https://agribegri.com/products/buy-fungicide-online-india--organic-fungicide--yield-enhancer.php
2,Apple___Cedar_apple_rust,Katyayani All in 1 Organic Fungicide,https://www.katyayaniorganics.com/wp-content/uploads/2022/06/400gm_13.jpg,https://www.katyayaniorganics.com/product/all-in-1-organic-fungicide/?srsltid=AfmBOoo8YPBMtnblKJA28JR0QeZ5ZYiQ869E4_X711Iy-15-UhCYd4zo
3,Apple___healthy,Tapti Booster Organic Fertilizer,https://5.imimg.com/data5/TO/TB/SZ/SELLER-9432575/tapti-booster-jpg-1000x1000.jpg,http://indiamart.com/proddetail/tapti-booster-21581079630.html
4,Background_without_leaves,,,
5,Blueberry___healthy,GreenStix Fertilizer,https://lazygardener.com/cdn/shop/products/greenstix-all-purpose-plant-food-sticks-fertilizer-sticks-plant-food-sticks-lazygardener-821257.jpg?v=1695147465&width=1800,https://lazygardener.com/products/greenstix?variant=43644295381212
6,Cherry___Powdery_mildew,ROM Mildew Clean,https://agribegri.com/products/rom-mildew-clean-1-kg--price-of-organic-fungicide-online-.php?srsltid=AfmBOooktfn83hp4gLb-HH3RL2pOWyVfh39maDxQ50yWF8uUwCeLshFk,https://agribegri.com/products/rom-mildew-clean-1-kg--price-of-organic-fungicide-online-.php?srsltid=AfmBOooktfn83hp4gLb-HH3RL2pOWyVfh39maDxQ50yWF8uUwCeLshFk
7,Cherry___healthy,"Plantic Organic BloomDrop Liquid Plant Food ",https://m.media-amazon.com/images/I/81vr+YxVxeL._SL1500_.jpg,https://www.amazon.in/PLANTIC-Fertilizer-Flowering-Blooming-BloomDrop/dp/B08YKFP4BM
8,Corn___Cercospora_leaf_spot Gray_leaf_spot,ANTRACOL FUNGICIDE,https://cdn.shopify.com/s/files/1/0722/2059/files/antracol-file-659.jpg?v=1737430916&width=1200,https://www.bighaat.com/products/antracol?srsltid=AfmBOoqUkDB6w2uPA1-ZVYqqjmk9RnDMu07wTs3r9QBlkaUYfG_zJ_0O
9,Corn___Common_rust,3 STAR M45 Mancozeb 75% WP Contact Fungicide,https://shamrockoverseas.com/assets/images/products/fungicides/3-star-n.png,https://shamrockoverseas.com/3-star-m-45.php
10,Corn___Northern_Leaf_Blight,QUIT (Carbendazim 12% + Mancozeb 63% WP) Protective And Curative Fungicide,https://agribegri.com/_next/image?url=https%3A%2F%2Fdujjhct8zer0r.cloudfront.net%2Fmedia%2Fprod_image%2F19730425201732162648.webp&w=640&q=75,https://agribegri.com/products/buy-carbendazim-12--mancozeb-63-online--buy-fungicide-online.php?srsltid=AfmBOopk2KXuqnTXqDliy5QhmuJwSnAPHNCLBiyNdEIR1aX41xEN1JuR
11,Corn___healthy,Biomass Lab Sampoorn Fasal Ahaar (Multipurpose Organic Fertilizer & Plant Food),https://m.media-amazon.com/images/I/81fw9TlYskL._SL1500_.jpg,https://www.amazon.in/Biomass-Lab-Sampoorn-Multipurpose-Fertilizer/dp/B07W8N4BVH
12,Grape___Black_rot,Southern Ag Captan 50% WP Fungicide,https://www.amazon.com/Southern-Ag-01600-Captan-Fungicide/dp/B000YHB4HW,https://m.media-amazon.com/images/I/71S1sdZMOdL._AC_SL1500_.jpg
